stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,0NY,Grand Central,,40.752998,-73.977056,,https://new.mta.info/stations/grand-central-terminal,0,,1
4,0HL,Harlem-125 St,,40.805157,-73.939149,,https://new.mta.info/stations/harlem-125-street,0,,1
622,0YS,Yankees-E 153 St,,40.8253,-73.9299,,https://new.mta.info/stations/yankees-e-153-st,0,,1
184,0HI,Highbridge Yard,,40.8359,-73.9315,,,0,,0
9,0MH,Morris Heights,,40.854252,-73.919583,,https://new.mta.info/stations/morris-heights,0,,1
10,0UH,University Heights,,40.862248,-73.91312,,https://new.mta.info/stations/university-heights,0,,1
11,0MB,Marble Hill,,40.874333,-73.910941,,https://new.mta.info/stations/marble-hill,0,,2
14,0DV,Spuyten Duyvil,,40.878245,-73.921455,,https://new.mta.info/stations/spuyten-duyvil,0,,2
16,0RV,Riverdale,,40.903981,-73.914126,,https://new.mta.info/stations/riverdale,0,,1
17,0LU,Ludlow,,40.924972,-73.904612,,https://new.mta.info/stations/ludlow,0,,2
18,0YK,Yonkers,,40.935795,-73.902668,,https://new.mta.info/stations/yonkers,0,,1
19,0GD,Glenwood,,40.950496,-73.899062,,https://new.mta.info/stations/glenwood,0,,1
20,0GY,Greystone,,40.972705,-73.889069,,https://new.mta.info/stations/greystone,0,,1
22,0HS,Hastings-on-Hudson,,40.994109,-73.884512,,https://new.mta.info/stations/hastings-hudson,0,,1
23,0DF,Dobbs Ferry,,41.012459,-73.87949,,https://new.mta.info/stations/dobbs-ferry,0,,1
24,0AR,Ardsley-on-Hudson,,41.026198,-73.876543,,https://new.mta.info/stations/ardsley-hudson,0,,1
25,0IV,Irvington,,41.039993,-73.873083,,https://new.mta.info/stations/irvington,0,,1
27,0TT,Tarrytown,,41.076473,-73.864563,,https://new.mta.info/stations/tarrytown,0,,1
29,0PM,Philipse Manor,,41.09492,-73.869755,,https://new.mta.info/stations/philipse-manor,0,,1
30,0SB,Scarborough,,41.135763,-73.866163,,https://new.mta.info/stations/scarborough,0,,1
31,0OS,Ossining,,41.157663,-73.869281,,https://new.mta.info/stations/ossining,0,,1
33,0HM,Croton-Harmon,,41.189903,-73.882394,,https://new.mta.info/stations/croton-harmon,0,,1
37,0CT,Cortlandt,,41.246259,-73.921884,,https://new.mta.info/stations/cortlandt,0,,1
39,0PE,Peekskill,,41.285962,-73.93042,,https://new.mta.info/stations/peekskill,0,,1
40,0MN,Manitou,,41.332601,-73.970426,,https://new.mta.info/stations/manitou,0,,2
